M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,Total_Sales,Date
0.0,0.67,0.4,2.0,0.0,0.0,0.0,1.0,2014,1,8,Thursday,4.07,2014-01-02
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2014,1,9,Thursday,3.0,2014-01-02
0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,10,Thursday,5.0,2014-01-02
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,11,Thursday,3.0,2014-01-02
0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,2014,1,12,Thursday,9.0,2014-01-02
0.0,1.0,2.0,20.4,0.0,0.0,0.0,1.0,2014,1,13,Thursday,24.4,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,14,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,15,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,16,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,17,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,18,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,19,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,20,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,21,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,22,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,23,Thursday,0.0,2014-01-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,0,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,1,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,2,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,3,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,4,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,5,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,6,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014,1,7,Friday,1.0,2014-01-03
0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2014,1,8,Friday,0.6,2014-01-03
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014,1,9,Friday,2.0,2014-01-03
1.0,2.0,0.0,4.1,2.0,0.0,0.0,0.0,2014,1,10,Friday,9.1,2014-01-03
4.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,2014,1,11,Friday,17.0,2014-01-03
0.0,0.0,0.4,10.4,4.0,0.0,10.0,1.0,2014,1,12,Friday,25.8,2014-01-03
1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2014,1,13,Friday,7.0,2014-01-03
0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2014,1,14,Friday,4.0,2014-01-03
1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,2014,1,15,Friday,12.0,2014-01-03
0.0,1.0,0.0,4.2,0.0,0.0,2.0,0.0,2014,1,16,Friday,7.2,2014-01-03
1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2014,1,17,Friday,8.0,2014-01-03
0.0,0.0,1.0,0.3,2.0,0.0,0.0,0.0,2014,1,18,Friday,3.3,2014-01-03
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2014,1,19,Friday,2.0,2014-01-03
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2014,1,20,Friday,8.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,21,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,22,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,23,Friday,0.0,2014-01-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,0,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,1,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,2,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,3,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,4,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,5,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,6,Saturday,0.0,2014-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,7,Saturday,0.0,2014-01-04
1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2014,1,8,Saturday,1.2,2014-01-04
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2014,1,9,Saturday,9.0,2014-01-04
0.0,0.0,1.0,9.0,3.0,0.0,5.0,0.0,2014,1,10,Saturday,18.0,2014-01-04
1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2014,1,11,Saturday,8.0,2014-01-04
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2014,1,12,Saturday,2.0,2014-01-04
0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2014,1,13,Saturday,4.0,2014-01-04
0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2014,1,14,Saturday,9.0,2014-01-04
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,15,Saturday,1.0,2014-01-04
0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0,2014,1,16,Saturday,6.3,2014-01-04
0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.0,2014,1,17,Saturday,2.25,2014-01-04
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2014,1,18,Saturday,10.0,2014-01-04
0.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0,2014,1,19,Saturday,17.0,2014-01-04
